"Component";"ComponentId";"ComponentTypeId";"ComponentTypeName";"JobId";"JobName";"UploadClass";"WhoToNotify";"WhoToNotifyNames";"WhoToNotifyEMails";"WhoToNotifyAdditional";"Execution";"IpOrComputerName";"UploadAgent";"CompareAgent";"LastCheck (local)";"LastCheck (UTC)";"NextStart (local)";"NextStart (UTC)";"JobStart (local)";"JobStart (UTC)";"JobFinish (local)";"JobFinish (UTC)";"ResultVersionVsBackup";"WarningVersionVsBackup";"ErrorVersionVsBackup";"ResultBackupVsPreBackups";"WarningBackupVsPreBackup";"ErrorBackupVsPreBackup";"DirBackup";"TimestampBackup (local)";"TimestampBackup (UTC)";"DirPreBackup";"TimestampPreBackup (local)";"TimestampPreBackup (UTC)";"OutOfDate";"VersionVsBackupVersionNumber";"DeactivatedComment"
"\BMB\FCEV\BPP-Montage\Laser-Welding\20\IPC_Beckhoff\Images";"5002812ADD654F129E1241BF13233C7B";"310DFC71DDDE4A298B567AFECDB16B93";"Images";"9D9CC29447A54D6D871D745384D4C966";"Image_Beckhoff";"DiskImage";"";"";"";"";"0";"";"";"";"2022-11-25T13:13:20+0100";"2022-11-25T12:13:20Z";"";"";"2022-11-25T13:13:20+0100";"2022-11-25T12:13:20Z";"2022-11-25T13:13:32+0100";"2022-11-25T12:13:32Z";"1";"";"Error connecting to target system [Provider: ][Error text: ]";"1";"";"Error connecting to target system [Provider: ][Error text: ]";"";"";"";"";"";"";"N";"";""
"\BMB\FCEV\BPP-Montage\Laser-Welding\10\IPC_Vision\Images";"A27DCED83F814BE598C1B4DD0D8ADB19";"310DFC71DDDE4A298B567AFECDB16B93";"Images";"14495EE4849D48E1BF2CECBC8EF15BA8";"Image_Vision";"DiskImage";"";"";"";"";"0";"";"";"";"2022-11-25T13:14:06+0100";"2022-11-25T12:14:06Z";"";"";"2022-11-25T13:14:06+0100";"2022-11-25T12:14:06Z";"2022-11-25T13:14:40+0100";"2022-11-25T12:14:40Z";"1";"";"Error connecting to target system [Provider: ][Error text: ]";"1";"";"Error connecting to target system [Provider: ][Error text: ]";"";"";"";"";"";"";"N";"";""
"\BMB\CRI3\12_SMM\12_HVL\010\Safety_Validation_W4370";"0057AB6A3DE1496EB267BE61280222ED";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Delivery_documentation\07_Inspection_documents_certificates\E-acceptance protocol";"02630EC69810463896B7382CACA347A0";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\43_Coupon\160\Test1\EPLAN_O1007";"04A2F32E8BF24903A362E563406468DB";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\230\Staeubli_C180A740";"07A31AAB949A46008AE1706679FEEEC6";"899CB500D3684F61872B56F71BD11F38";"Stäubli CS8C (SRS TransferManager Skript)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\406_Grauraum\070_Laserabgleich\LSU5.2 Selektion MAE0001W2824\Safety_Validation";"093EB6BA390646B2885326044F80C99B";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Nozzle\11_Soft\70\200\Safety_Validation";"097E7511BE9247D0A648E28928DD7518";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\MEA_HVL\St50\NEXEED_000A620\PLC";"0A685130DA81410EA47360FE8408590A";"EB3615946F9A4172A194E56AAC3F564C";"ControlPlus_CPS5.x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\OPCON_000A620\SettingData\TypeData";"0A9B3E64CBBC48ACA0D0901A831C0A11";"56C7E3817715414EB1772B1FAE3A1A54";"SettingData";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
