Factory,Value Stream,Stage/Product Line/SL,Component,Path,Create Date
BaP,HDEV6,/01_Instructions/13_Dry/210/,Stäubli_A160A740,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/210/ARCHIVE/Stäubli_A160A740/20190405.000,2019-04-05,3.419762
BaP,HDEV6,/01_Instructions/13_Dry/220/,Stäubli_A150A740,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/220/ARCHIVE/Stäubli_A150A740/20190405.000,2019-04-05,3.419762
BaP,HDEV6,/01_Instructions/13_Dry/230/,KistlerPress,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/230/ARCHIVE/KistlerPress/20191113.000,2019-11-13,2.811926
BaP,HDEV6,/01_Instructions/13_Dry/230/,Schunk_C193B803,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/230/ARCHIVE/Schunk_C193B803/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/01_Instructions/13_Dry/230/,Siemens_A150K150,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/230/ARCHIVE/Siemens_A150K150/20190522.000,2019-05-22,3.291076
BaP,HDEV6,/01_Instructions/13_Dry/230/,Stäubli_C120A740,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/230/ARCHIVE/Stäubli_C120A740/20190405.000,2019-04-05,3.419762
BaP,HDEV6,/01_Instructions/13_Dry/230/,Stäubli_C160A740,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/230/ARCHIVE/Stäubli_C160A740/20190405.000,2019-04-05,3.419762
BaP,HDEV6,/01_Instructions/13_Dry/230/,Stäubli_C160A740,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/230/ARCHIVE/Stäubli_C160A740/20190523.000,2019-05-23,3.288338
BaP,HDEV6,/01_Instructions/13_Dry/230/,Stäubli_C180A740,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/230/ARCHIVE/Stäubli_C180A740/20190405.000,2019-04-05,3.419762
BaP,HDEV6,/01_Instructions/13_Dry/250/,Keyence B151B831,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/250/ARCHIVE/Keyence B151B831/20190403.000,2019-04-03,3.425238
BaP,HDEV6,/01_Instructions/13_Dry/250/,Keyence IG010,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/250/ARCHIVE/Keyence IG010/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/01_Instructions/13_Dry/250/,Stäubli_B120A740,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/250/ARCHIVE/Stäubli_B120A740/20190405.000,2019-04-05,3.419762
BaP,HDEV6,/01_Instructions/13_Dry/250/,Stäubli_B170A740,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/250/ARCHIVE/Stäubli_B170A740/20190405.000,2019-04-05,3.419762
BaP,HDEV6,/01_Instructions/13_Dry/,Heidenhain EIB74x,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/ARCHIVE/Heidenhain EIB74x/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/01_Instructions/13_Dry/,Indradrive,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/ARCHIVE/Indradrive/20190403.000,2019-04-03,3.425238
BaP,HDEV6,/01_Instructions/13_Dry/,Indradrive,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/ARCHIVE/Indradrive/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/01_Instructions/13_Dry/,Laser-Spy (_130B985),D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/ARCHIVE/Laser-Spy (_130B985)/20190522.000,2019-05-22,3.291076
BaP,HDEV6,/01_Instructions/13_Dry/,PUTE,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/ARCHIVE/PUTE/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/01_Instructions/13_Dry/,PUTE,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/ARCHIVE/PUTE/20191022.000,2019-10-22,2.872162
BaP,HDEV6,/01_Instructions/13_Dry/,Schmersal SD-Gateway,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/ARCHIVE/Schmersal SD-Gateway/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/01_Instructions/13_Dry/,Staubli CS8C,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/ARCHIVE/Staubli CS8C/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/01_Instructions/13_Dry/,Trumpf Panel PC (_130K850),D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/ARCHIVE/Trumpf Panel PC (_130K850)/20190522.000,2019-05-22,3.291076
BaP,HDEV6,/01_Instructions/13_Dry/Sensors/,Keyence LR-ZB250C3P,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/Sensors/ARCHIVE/Keyence LR-ZB250C3P/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/01_Instructions/13_Dry/Sensors/,Kistler ICAM 5073,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/Sensors/ARCHIVE/Kistler ICAM 5073/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/01_Instructions/13_Dry/Sensors/,Sick WLL190T-2,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/Sensors/ARCHIVE/Sick WLL190T-2/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/01_Instructions/13_Dry/Sensors/,Sick WTB8L,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/Sensors/ARCHIVE/Sick WTB8L/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/01_Instructions/13_Dry/Sensors/,Testo 6442 (000B601),D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Dry/Sensors/ARCHIVE/Testo 6442 (000B601)/20190522.000,2019-05-22,3.291076
BaP,HDEV6,/01_Instructions/13_Long/420/,Staeubli_B120A741,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Long/420/ARCHIVE/Staeubli_B120A741/20190712.000,2019-07-12,3.151438
BaP,HDEV6,/01_Instructions/13_Long/420/,Staeubli_B120A741,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Long/420/ARCHIVE/Staeubli_B120A741/20190716.000,2019-07-16,3.140486
BaP,HDEV6,/01_Instructions/13_Long/420/,Staeubli_B160A741,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Long/420/ARCHIVE/Staeubli_B160A741/20190712.000,2019-07-12,3.151438
